x1	x2	x3
68.715617	74.087568	67.028759
82.361097	68.021274	80.932201
69.513555	84.123291	75.93602
58.581992	68.95318	64.067946
57.911244	64.292562	54.116352
62.896843	68.172567	61.719507
71.618451	65.845029	68.459411
51.54676	56.067331	54.568994
54.441064	46.522916	52.90087
46.909233	47.369849	49.854247
64.263042	67.153466	62.935903
70.488403	74.488309	76.527186
65.300312	59.853142	65.447552
74.66017	65.602349	65.806432
76.394075	65.826779	76.451104
75.268397	73.25417	70.402654
63.738726	51.127293	58.26717
66.205196	68.375703	63.063006
68.941523	70.139349	71.839602
83.029822	78.837391	79.743251
62.984177	61.792743	62.067981
70.565831	73.620061	66.111771
77.291121	92.840931	74.649876
71.224912	63.142849	73.130719
57.218503	73.945889	56.131732
64.387621	66.350543	66.498661
61.011705	71.941691	70.037514
74.829362	69.332197	79.435975
63.698222	59.72092	59.742883
66.413221	62.735739	63.767343
61.293572	56.353453	56.313449
72.519873	59.910581	63.319616
74.988103	67.554087	63.10256
62.428169	69.876119	64.987928
68.031298	70.400408	67.7795
61.630867	67.10891	62.511006
54.69458	58.416192	47.628204
43.636248	44.397507	49.243747
82.981555	75.852545	80.906046
81.950573	72.429832	80.25133
58.498141	53.526123	58.551222
86.667732	79.799879	90.326118
55.303502	56.323181	49.283824
68.986637	63.258612	63.761043
53.631654	67.311465	56.523542
68.951895	66.520283	61.311901
55.437554	52.746687	51.315025
77.539689	85.329867	82.154007
60.66081	53.33009	55.374647
66.356256	64.194007	66.115193
59.824896	63.774406	62.609918
66.309821	69.123552	70.270325
61.895026	57.622251	63.10321
55.662597	58.645322	57.490118
79.508159	79.808778	76.580282
63.903096	76.364053	70.359139
74.757594	59.379035	65.907864
64.030986	61.832178	63.756751
83.018182	90.132011	81.756066
68.81901	72.406679	73.535688
63.942939	71.109842	70.947184
72.43141	76.831903	76.59434
60.542508	58.4232	55.358422
78.769421	62.307987	71.176413
60.386983	54.237748	63.673548
64.843196	75.137129	69.206155
81.67003	78.099237	77.581055
62.07371	53.647568	61.679332
62.230913	52.995703	62.0204
51.56622	53.628776	56.451166
57.854484	46.278329	54.291582
57.28948	65.177439	59.017048
66.257885	58.089212	69.913982
67.533685	78.251641	75.376829
52.711204	62.502242	53.668827
88.707265	80.866595	78.605228
49.225939	59.079088	50.153348
65.185714	58.081363	58.094912
67.806389	69.227014	66.246815
48.639301	57.646078	46.602083
72.01022	72.25604	72.430756
58.508845	61.505848	62.711295
77.399031	70.517076	73.905921
76.685853	76.979193	76.82326
57.087397	52.417381	60.069901
77.824932	70.440951	75.023351
58.684583	54.667196	58.075629
82.625333	85.211704	83.634571
77.627717	71.092385	78.333695
54.840519	58.92163	52.489462
59.168261	64.132952	69.481739
56.905006	61.517466	61.731465
71.902919	76.270562	71.22682
81.972505	93.187991	93.038225
71.512277	72.731168	70.302737
51.634795	56.657698	49.565111
65.102156	66.808289	66.27123
65.485011	53.163819	68.418191
69.80657	68.451144	69.096382
69.04132	74.090727	72.770923
56.495102	55.0493	54.943933
67.106292	72.698553	70.745447
75.804577	67.629937	74.163304
70.100917	74.349804	71.420737
58.441033	70.978576	63.174988
76.314435	80.080193	74.628257
66.509526	78.309302	71.450939
62.698971	65.759488	64.757204
53.605021	53.70801	54.261859
63.575597	75.360845	71.083072
72.54536	78.280358	75.185
65.244323	61.362746	62.600012
59.235191	70.371048	65.654172
71.891502	61.34171	65.582793
65.329171	63.748722	63.393002
91.068025	76.87877	82.390316
78.100786	71.730522	68.22597
70.152435	73.631517	73.138157
58.695228	64.186537	58.897486
63.379886	65.148519	56.668765
65.478569	65.325433	60.111068
60.110324	49.226128	55.835977
52.590523	62.34921	60.532899
82.502086	70.448758	81.181369
60.447583	54.499486	57.435596
60.82211	65.330132	64.425302
70.538925	77.936539	67.101598
70.726535	73.815967	66.137281
61.780109	58.793652	63.560698
74.44251	78.606039	79.814765
62.930133	69.254259	64.766325
55.234019	58.700628	59.600248
58.557723	49.268193	48.286683
57.55349	73.265601	63.464278
75.60838	87.410844	79.626053
71.04534	59.996516	67.003673
71.351483	59.660661	67.829092
